tourOriginDistrict,tourDestinationDistrict,purpose,destinationChoiceConstant
1,1,1,1.66
2,2,1,5
3,3,1,1
4,4,1,5
5,5,1,2
6,6,1,2.8
7,7,1,3.1
8,8,1,5
9,9,1,2.9
10,10,1,0.1
11,11,1,2.9
12,12,1,1
13,13,1,3.2
14,14,1,0.7
15,15,1,2.9
16,16,1,1.5
17,17,1,3
18,18,1,2.2
19,19,1,3.1
20,20,1,5.2
21,21,1,3
22,22,1,5
23,23,1,3.1
24,24,1,2
25,25,1,2.6
26,26,1,2.6
27,27,1,1.5
28,28,1,2.2
29,29,1,2.6
30,30,1,3.6
31,31,1,1.6
32,32,1,2.4
33,33,1,3
34,34,1,1.8
35,35,1,0.1
36,36,1,3.5
37,37,1,2.8
38,38,1,2.3
39,39,1,1.6
40,40,1,1.9
41,41,1,3.8
42,42,1,1.55
43,43,1,4.1
44,44,1,2.65
45,45,1,4
46,46,1,0
47,47,1,5
48,48,1,8
49,49,1,3
50,50,1,2
51,51,1,2
52,52,1,6
53,53,1,0
54,54,1,0
55,55,1,0
56,56,1,0
57,57,1,0
58,58,1,3
59,59,1,3
60,60,1,0
61,61,1,0
62,62,1,0
63,63,1,0
64,64,1,0
65,65,1,5
66,66,1,9
5,63,1,-2.5
9,63,1,-3
11,63,1,-2
28,63,1,-1
29,61,1,-1
29,63,1,-2
29,64,1,1.4
35,63,1,-1
40,63,1,-2.4
48,10,1,-5
53,16,1,-2
53,27,1,-2
53,42,1,-3
55,1,1,-3
55,14,1,-3
56,1,1,-5
56,14,1,-2
57,14,1,-3
58,3,1,-5
58,6,1,-5
58,10,1,-5
58,16,1,-6
58,27,1,-5
58,34,1,-6
58,36,1,-1
58,39,1,-3
58,42,1,-8
59,3,1,-7
59,4,1,-5
59,6,1,-4.5
59,10,1,-7
59,15,1,-7
59,16,1,-3.5
59,21,1,-7
59,26,1,-4
59,32,1,-4.5
59,36,1,-5
59,39,1,-5
59,42,1,-4
60,32,1,-4
61,29,1,-2
61,35,1,0.6
62,5,1,-2.5
63,5,1,-1.7
63,9,1,-3
63,28,1,-0.2
63,29,1,-4
63,35,1,-4
63,40,1,-6
64,5,1,-3
64,29,1,-3
64,35,1,-4
65,3,1,-5
65,6,1,-2
65,15,1,-2
65,33,1,-2
66,10,1,-2
66,39,1,-1
