CNTYIDFP00,CTYPOP,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,OCCP1,OCCP2,OCCP3,OCCP4,OCCP5,OCCP6,OCCP7,OCCP8,OCCP9
16001,187507,19213,26590,9370,5119,10848,25066,29176,24744,19525,10359,5501,1996,15866,20806,664,3085,3413,5199,17159,19714,101601
16003,7082,588,738,367,235,521,784,842,999,930,650,313,115,357,462,8,117,61,188,613,1206,4070
16005,19010,2113,2099,796,622,1791,2543,2144,2437,2124,1302,798,240,979,1535,123,259,282,480,1814,3117,10421
16007,17398,1934,1921,729,569,1639,2327,1962,2231,1944,1192,731,219,896,1405,112,237,258,439,1661,2853,9537
16009,21333,1778,2045,1018,637,1586,2365,2623,3132,2988,1878,969,314,1231,1800,20,244,356,599,2135,2937,12010
16011,35122,3904,3879,1471,1149,3310,4698,3961,4503,3925,2405,1475,443,1809,2836,227,478,521,887,3352,5759,19254
16013,39891,4154,4203,1964,1281,3142,4985,4791,5446,4612,2940,1702,672,2271,2861,89,698,535,941,3510,7258,21727
16015,9854,818,1027,511,327,725,1091,1172,1389,1294,905,436,161,497,642,11,163,85,261,853,1678,5663
16017,52229,4353,5007,2492,1559,3884,5791,6421,7668,7316,4598,2372,769,3015,4408,49,598,871,1467,5227,7190,29404
16019,19571,2260,2340,912,615,2380,2662,2161,2259,1936,1157,630,260,1162,1882,93,341,321,505,1902,2689,10677
16021,34766,2898,3333,1659,1038,2585,3855,4274,5104,4870,3060,1579,512,2007,2934,33,398,580,977,3479,4786,19573
16023,22983,2654,2748,1070,722,2795,3126,2538,2653,2274,1359,740,305,1365,2211,109,401,377,593,2233,3157,12538
16025,16178,1685,1704,797,519,1274,2022,1943,2209,1870,1192,690,272,921,1160,36,283,217,382,1423,2944,8811
16027,178735,20845,22998,9431,5082,14090,25011,23063,21853,17530,10663,6075,2094,8577,14524,223,2198,1664,4489,15671,27229,104160
16029,29811,3314,3292,1248,975,2809,3988,3362,3822,3331,2042,1252,376,1535,2407,192,406,443,753,2845,4888,16342
16031,38686,4028,4076,1905,1242,3047,4834,4646,5282,4472,2851,1651,651,2203,2774,86,677,519,913,3404,7039,21071
16033,18168,2098,2172,846,571,2209,2471,2006,2097,1797,1074,585,241,1079,1747,86,317,298,468,1765,2496,9911
16035,18352,1368,1605,752,476,2102,2144,1953,2532,2464,1626,946,385,965,1808,245,285,290,403,1900,2645,9812
16037,50797,5866,6074,2366,1596,6178,6908,5609,5863,5025,3004,1635,674,3017,4886,242,885,832,1310,4936,6978,27712
16039,16022,1329,1670,831,531,1178,1773,1906,2259,2103,1472,708,261,808,1045,18,264,138,425,1387,2729,9208
16041,11075,1231,1223,464,362,1044,1481,1249,1420,1238,759,465,140,570,894,71,151,164,280,1057,1816,6071
16043,19522,2254,2334,909,613,2374,2655,2156,2253,1931,1154,628,259,1159,1878,93,340,320,503,1897,2682,10650
16045,2925,243,305,152,97,215,324,348,412,384,269,129,48,148,191,3,48,25,78,253,498,1681
16047,11001,1145,1159,542,353,866,1375,1321,1502,1272,811,469,185,626,789,25,192,148,260,968,2002,5992
16049,62720,4677,5485,2569,1626,7183,7328,6673,8653,8420,5557,3233,1317,3297,6178,838,976,991,1376,6494,9039,33533
16051,11380,1314,1361,530,357,1384,1548,1257,1313,1126,673,366,151,676,1095,54,198,186,293,1106,1563,6208
16053,9029,940,951,445,290,711,1128,1084,1233,1044,665,385,152,514,647,20,158,121,213,794,1643,4918
16055,35801,2984,3432,1708,1069,2662,3969,4401,5256,5015,3151,1626,527,2067,3021,34,410,597,1006,3583,4929,20155
16057,7949,593,695,326,206,910,929,846,1097,1067,704,410,167,418,783,106,124,126,174,823,1145,4250
16059,47006,5428,5621,2189,1477,5717,6393,5190,5425,4650,2779,1513,624,2792,4521,224,819,770,1212,4567,6458,25643
16061,3540,264,310,145,92,405,414,377,488,475,314,182,74,186,349,47,55,56,78,367,510,1893
16063,18079,1883,1905,890,581,1424,2259,2171,2468,2090,1332,771,304,1029,1296,40,316,243,427,1591,3290,9847
16065,4873,563,583,227,153,593,663,538,562,482,288,157,65,289,469,23,85,80,126,473,669,2658
16067,11438,1191,1205,563,367,901,1429,1374,1562,1322,843,488,193,651,820,26,200,154,270,1006,2081,6230
16069,6321,471,553,259,164,724,738,673,872,848,560,326,133,332,623,84,98,100,139,654,911,3379
16071,19904,2212,2198,834,651,1876,2662,2245,2552,2224,1363,836,251,1025,1607,128,271,295,503,1900,3263,10911
16073,39789,3301,4148,2064,1319,2927,4404,4732,5610,5223,3654,1759,648,2007,2594,46,656,342,1055,3445,6776,22868
16075,2121,176,221,110,70,156,235,252,299,278,195,94,35,107,138,2,35,18,56,184,361,1219
16077,23894,2656,2639,1001,781,2252,3196,2695,3064,2670,1636,1003,301,1231,1929,154,325,355,604,2281,3918,13098
16079,71682,5974,6872,3420,2140,5331,7948,8813,10524,10041,6310,3255,1055,4138,6049,68,821,1195,2014,7173,9868,40355
16081,4641,536,555,216,146,564,631,512,536,459,274,149,62,276,446,22,81,76,120,451,638,2532
16083,29181,3022,3058,1436,940,2289,3650,3509,3986,3379,2167,1246,499,1656,2083,75,516,398,692,2554,5271,15936
16085,19290,1600,2011,1001,639,1419,2135,2294,2720,2532,1772,853,314,973,1258,22,318,166,511,1670,3285,11086
16087,7620,632,794,395,253,560,843,906,1074,1000,700,337,124,384,497,9,126,66,202,660,1298,4380
30001,56643,4313,4975,2186,1009,6441,8792,7215,8181,7029,3658,1966,879,4677,6641,773,877,1105,1892,6947,8106,25625
30031,26784,2039,2352,1033,477,3046,4157,3412,3869,3324,1730,930,416,2212,3140,365,415,522,895,3285,3833,12117
30053,84486,6361,7584,3445,2432,6211,8797,10005,13580,13160,7577,4173,1161,4411,7336,103,1618,1555,2294,8032,11452,47685
30057,36642,2790,3218,1414,652,4167,5687,4667,5292,4547,2367,1272,569,3026,4296,500,567,715,1224,4494,5244,16577
30061,28448,1946,2383,1071,687,3107,3992,3462,4079,3924,2168,1140,491,2014,2968,326,465,630,858,3238,3520,14429
30063,60879,4164,5099,2292,1469,6649,8542,7409,8728,8396,4639,2440,1050,4311,6352,698,995,1348,1836,6930,7532,30878
30081,55807,3817,4674,2101,1347,6095,7831,6792,8001,7697,4252,2237,963,3952,5822,639,912,1236,1683,6352,6905,28306
30089,64133,4828,5757,2615,1846,4715,6678,7595,10309,9990,5751,3168,881,3348,5568,79,1228,1180,1742,6097,8693,36198
32007,100200,7849,9565,4398,3394,7156,10084,12846,15714,14078,9650,4339,1127,4663,6643,131,1480,768,1742,10304,18164,56304
32013,56396,4418,5384,2475,1910,4027,5676,7231,8845,7923,5431,2442,634,2625,3739,74,833,432,981,5800,10223,31690
41001,59340,5073,6286,2639,1850,4948,6657,6684,8280,7863,4979,2984,1099,3432,4747,111,774,767,1460,5527,9205,33317
41045,109091,7418,10879,5054,4071,8961,11466,12425,15259,15188,10291,6229,1850,6490,7932,246,1625,1279,2515,10670,16104,62230
41063,60520,5173,6410,2691,1887,5047,6789,6816,8445,8019,5078,3043,1120,3500,4842,113,789,783,1490,5636,9388,33979
49003,158751,19114,21432,8347,5227,17877,25044,18145,17437,12728,7476,4223,1701,10262,13663,1454,2613,1733,4061,16105,23287,85574
49005,27692,3334,3738,1456,912,3118,4368,3165,3042,2220,1304,737,297,1790,2383,254,456,302,708,2809,4062,14927
49033,25658,3089,3464,1349,845,2889,4048,2933,2818,2057,1208,683,275,1659,2208,235,422,280,656,2603,3764,13831
53003,25911,1881,2143,947,808,3409,3227,2736,3497,3275,2093,1287,609,1693,2633,571,402,500,595,2599,3151,13768
53051,174556,15309,19485,9069,6178,13126,18720,20574,24188,23010,14797,7502,2598,8998,11941,296,3293,1978,3304,13414,26849,104483
53063,199161,16836,18347,7438,4873,22569,29540,25525,26026,22905,12023,9434,3645,10614,21765,1418,2811,3527,5221,26136,21249,106420
53075,88103,6394,7286,3221,2748,11592,10972,9301,11889,11134,7118,4376,2071,5755,8952,1941,1368,1698,2023,8839,10712,46814
56023,64712,6351,6314,2722,1924,4484,8793,8005,10234,8800,4238,2064,783,4342,6005,179,1377,862,2140,6561,12437,30808
56039,66830,6559,6521,2812,1987,4631,9081,8266,10569,9088,4376,2132,808,4485,6201,185,1423,890,2210,6775,12845,31817
